size,SPD,EOOD,EOOP,DI,ACC,THEIL,SPD_mean,EOOD_mean,EOOP_mean,DI_mean,ACC_mean,THEIL_mean
5%,0.0,0.0,0.0,nan,0.43478260869565216,0.8329091229351042
5%,0.0,0.0,0.0,nan,0.5217391304347826,0.6505875661411493
5%,0.0,0.0,0.0,nan,0.5072463768115942,0.6787584431078456
5%,0.0,0.0,0.0,nan,0.42028985507246375,0.8668106746107855
5%,0.0,0.0,0.0,nan,0.4927536231884058,0.7077459799810978,0.0,0.0,0.0,nan,0.47536231884057967,0.7473623573551965
10%,-0.008695652173913044,0.008620689655172414,-0.017241379310344827,0.0,0.5144927536231884,0.6645738081158894
10%,-0.01834862385321101,0.015151515151515152,-0.030303030303030304,0.0,0.41304347826086957,0.8842024173226545
10%,0.0,0.0,0.0,nan,0.5507246376811594,0.5965203448708738
10%,0.0,0.0,0.0,nan,0.45652173913043476,0.7841189587656722
10%,0.0,0.0,0.0,nan,0.47101449275362317,0.7528664152615676,-0.005408855205424811,0.0047544409613375135,-0.009508881922675027,nan,0.4811594202898551,0.7364563888673314
15%,-0.012121212121212121,0.011235955056179775,-0.02247191011235955,0.0,0.4782608695652174,0.7375989431307792
15%,-0.00625,0.0058823529411764705,-0.011764705882352941,0.0,0.4492753623188406,0.8001193001121131
15%,-0.005988023952095809,0.0058823529411764705,-0.011764705882352941,0.0,0.463768115942029,0.7683706017975329
15%,0.0,0.0,0.0,nan,0.4782608695652174,0.7375989431307792
15%,0.0,0.0,0.0,nan,0.463768115942029,0.7683706017975329,-0.004871847214661586,0.004600132187706543,-0.009200264375413086,nan,0.4666666666666666,0.7624116779937473
20%,-0.004464285714285714,0.0045045045045045045,-0.009009009009009009,0.0,0.4891304347826087,0.7151260872787205
20%,0.0,0.0,0.0,nan,0.47101449275362317,0.7528664152615676
20%,-0.004672897196261682,0.004464285714285714,-0.008928571428571428,0.0,0.4492753623188406,0.8001193001121131
20%,-0.008771929824561403,0.008403361344537815,-0.01680672268907563,0.0,0.4855072463768116,0.7225610657662388
20%,-0.004545454545454545,0.0045045045045045045,-0.009009009009009009,0.0,0.4782608695652174,0.7375989431307791,-0.004490913456112669,0.004375331213566507,-0.008750662427133014,nan,0.4746376811594203,0.7456543623098838
25%,0.0,0.0,0.0,nan,0.4666666666666667,0.7621400520468966
25%,0.0,0.0,0.0,nan,0.48695652173913045,0.7195804376281008
25%,0.0,0.0,0.0,nan,0.4753623188405797,0.7436779892071613
25%,0.0,0.0,0.0,nan,0.48985507246376814,0.7136457021082862
25%,0.0,0.0,0.0,nan,0.4579710144927536,0.7809493840043932,0.0,0.0,0.0,nan,0.4753623188405798,0.7439987129989676
30%,-0.003067484662576687,0.0031446540880503146,-0.006289308176100629,0.0,0.4806763285024155,0.7325611491008218
30%,-0.0030120481927710845,0.0028735632183908046,-0.005747126436781609,0.0,0.45652173913043476,0.7841189587656721
30%,-0.0030303030303030303,0.0028089887640449437,-0.0056179775280898875,0.0,0.4613526570048309,0.7735925457786847
30%,-0.0030581039755351682,0.002976190476190476,-0.005952380952380952,0.0,0.46618357487922707,0.7631757849204288
30%,0.0,0.0,0.0,nan,0.533816425120773,0.6277032723075614,-0.002433587972237194,0.0023606793093353074,-0.004721358618670615,nan,0.4797101449275362,0.7362303421746337
35%,-0.0025575447570332483,0.0024752475247524753,-0.0049504950495049506,0.0,0.47619047619047616,0.7419373447293772
35%,-0.005194805194805195,0.004784688995215311,-0.009569377990430622,0.0,0.45134575569358176,0.7955215908634838
35%,-0.005390835579514825,0.00558659217877095,-0.0111731843575419,0.0,0.5093167701863354,0.6746851177202101
35%,0.0,0.0,0.0,nan,0.4616977225672878,0.7728448821924537
35%,-0.0026595744680851063,0.0026455026455026454,-0.005291005291005291,0.0,0.4865424430641822,0.7204311395084136,-0.003160551999887675,0.0030984062688482763,-0.0061968125376965525,nan,0.47701863354037266,0.7410840150027878
40%,-0.002257336343115124,0.002127659574468085,-0.00425531914893617,0.0,0.45471014492753625,0.7880951071453114
40%,-0.002232142857142857,0.0022026431718061676,-0.004405286343612335,0.0,0.48188405797101447,0.7300517374953963
40%,0.0,0.0,0.0,nan,0.4673913043478261,0.7605884613554778
40%,-0.002277904328018223,0.002242152466367713,-0.004484304932735426,0.0,0.46557971014492755,0.7644719613818755
40%,-0.002242152466367713,0.0020491803278688526,-0.004098360655737705,0.0,0.4492753623188406,0.8001193001121131,-0.0018019071989287833,0.0017243271081021638,-0.0034486542162043277,nan,0.463768115942029,0.7686653134980348
45%,-0.004024144869215292,0.0037593984962406013,-0.007518796992481203,0.0,0.4524959742351047,0.792976412599733
45%,-0.004073319755600814,0.004,-0.008,0.0,0.47020933977455714,0.754577279665197
45%,-0.003976143141153081,0.0037313432835820895,-0.007462686567164179,0.0,0.4573268921095008,0.782356843772273
45%,0.0,0.0,0.0,nan,0.4605475040257649,0.7753392711136262
45%,-0.00398406374501992,0.003968253968253968,-0.007936507936507936,0.0,0.47665056360708535,0.7409716276094183,-0.0032115343021978217,0.003091799149615332,-0.006183598299230664,nan,0.46344605475040257,0.7692442869520495
50%,-0.0036900369003690036,0.0035335689045936395,-0.007067137809187279,0.0,0.4602026049204052,0.7760884409874931
50%,-0.0017985611510791368,0.0016835016835016834,-0.003367003367003367,0.0,0.46164978292329956,0.7729487209828253
50%,-0.0035842293906810036,0.0033333333333333335,-0.006666666666666667,0.0,0.44862518089725034,0.8015675262884778
50%,-0.0036036036036036037,0.0035087719298245615,-0.007017543859649123,0.0,0.4761215629522431,0.7420820730022981
50%,0.0,0.0,0.0,nan,0.467438494934877,0.7604875005450132,-0.0025352862091465493,0.0024118351702506436,-0.004823670340501287,nan,0.46280752532561503,0.7706348523612216
55%,-0.0016778523489932886,0.001557632398753894,-0.003115264797507788,0.0,0.44473684210526315,0.8102725377973579
55%,-0.001658374792703151,0.0015723270440251573,-0.0031446540880503146,0.0,0.45921052631578946,0.7782465110779496
55%,-0.003284072249589491,0.0032679738562091504,-0.006535947712418301,0.0,0.4868421052631579,0.7198154276421066
55%,-0.0016556291390728477,0.0016181229773462784,-0.003236245954692557,0.0,0.4723684210526316,0.7499960447920979
55%,-0.003284072249589491,0.0032258064516129032,-0.0064516129032258064,0.0,0.4789473684210526,0.7361645656436362,-0.0023120001559896537,0.0022483725455894766,-0.004496745091178953,0.0,0.46842105263157896,0.7588990173906296
60%,-0.001524390243902439,0.0014577259475218659,-0.0029154518950437317,0.0,0.4680337756332931,0.7592148155120215
60%,-0.004615384615384616,0.004273504273504274,-0.008547008547008548,0.0,0.45355850422195415,0.7906310117454006
60%,-0.004545454545454545,0.004451038575667656,-0.008902077151335312,0.0,0.4776839565741858,0.7388059438808143
